split,family,variant,label,overall_rmse_db,delta_overall_rmse_db,overall_mae_db,los_rmse_db,los_mae_db,los_pixels,nlos_rmse_db,nlos_mae_db,nlos_pixels
validation,LoS,fspl_bias_only,FSPL plus height-binned bias only,3.7480166044773022,1.8610736860894677,2.9572852866329598,3.7899390926955965,3.0224071109851014,382752235,3.187857205763462,2.156642607539392,31131895
test,baseline,full,Complete recalibrated prior,1.9277165111584535,0.0,1.2150736020583588,1.7370444115023174,1.1145607215660924,391721805,3.5274649719456406,2.4703802434068196,31365314
test,NLoS,without_cost231,Without COST231 term,1.9278446207686524,0.00012810961019882328,1.2151449671439878,1.7370444115023174,1.1145607215660924,391721805,3.528409247260659,2.471342887953466,31365314
test,NLoS,without_distance,Without distance terms,1.92967419682096,0.0019576856625065364,1.215850743407504,1.7370444115023174,1.1145607215660924,391721805,3.5418741079578786,2.4808631129379735,31365314
test,NLoS,without_building_density,Without local building density,1.9359348488227621,0.008218337664308573,1.2182480210984206,1.7370444115023174,1.1145607215660924,391721805,3.5876626006545744,2.5132000221649253,31365314
test,NLoS,without_building_height,Without local building height,1.928956514971886,0.0012400038134323665,1.2156321143357298,1.7370444115023174,1.1145607215660924,391721805,3.5365968796115648,2.477914022611421,31365314
test,NLoS,without_local_visibility,Without local NLoS fractions,1.9303832168844306,0.0026667057259770477,1.2162237119839425,1.7370444115023174,1.1145607215660924,391721805,3.547081858515408,2.4858940908036145,31365314
test,NLoS,without_shadow_sigma,Without shadowing spread proxy,1.9295880944252837,0.0018715832668301235,1.215770058983265,1.7370444115023174,1.1145607215660924,391721805,3.541241294979918,2.4797747597144255,31365314
test,NLoS,without_elevation,Without elevation terms,1.9283234988197777,0.0006069876613241654,1.2150829031825863,1.7370444115023174,1.1145607215660924,391721805,3.5319372997456293,2.470505706389682,31365314
test,NLoS,without_interactions,Without interaction terms,1.9298449575438834,0.0021284463854298608,1.2158570755150366,1.7370444115023174,1.1145607215660924,391721805,3.54312886982542,2.4809485268169214,31365314
test,NLoS,without_local_morphology,Without all local morphology and visibility,1.951233559771523,0.023517048613069358,1.2229590268675468,1.7370444115023174,1.1145607215660924,391721805,3.697769128248153,2.576746838831642,31365314
test,NLoS,topology_only_routing,Without transmitter-height routing,1.9280004498635197,0.0002839387050661557,1.2147915912246732,1.7370444115023174,1.1145607215660924,391721805,3.529557582452064,2.466576195688665,31365314
test,NLoS,height_only_routing,Without topology routing,1.9308534118686789,0.003136900710225321,1.2178244194583225,1.7370444115023174,1.1145607215660924,391721805,3.5505322803055512,2.5074860542603536,31365314
test,NLoS,global_routing,Without topology and height routing,1.9317027259721182,0.003986214813664679,1.2179234092928606,1.7370444115023174,1.1145607215660924,391721805,3.5567584252169917,2.5088213293959694,31365314
test,NLoS,without_15m_scale,Without the 15-pixel local scale,1.9286159985040456,0.0008994873455920871,1.215564546277597,1.7370444115023174,1.1145607215660924,391721805,3.534090939319047,2.4770025962169093,31365314
test,NLoS,without_41m_scale,Without the 41-pixel local scale,1.9407069841902724,0.012990473031818883,1.2207734585433527,1.7370444115023174,1.1145607215660924,391721805,3.622273840735312,2.5472656799418893,31365314
